"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Italy (IT)","Actual Total Load [MW] - Italy (IT)"
"18.01.2023 23:00 - 19.01.2023 00:00","30570","29984"
"19.01.2023 00:00 - 19.01.2023 01:00","27695","27368"
"19.01.2023 01:00 - 19.01.2023 02:00","26153","25765"
"19.01.2023 02:00 - 19.01.2023 03:00","25400","24996"
"19.01.2023 03:00 - 19.01.2023 04:00","25250","24824"
"19.01.2023 04:00 - 19.01.2023 05:00","25272","25213"
"19.01.2023 05:00 - 19.01.2023 06:00","26990","26898"
"19.01.2023 06:00 - 19.01.2023 07:00","32209","32276"
"19.01.2023 07:00 - 19.01.2023 08:00","37886","38598"
"19.01.2023 08:00 - 19.01.2023 09:00","42592","42881"
"19.01.2023 09:00 - 19.01.2023 10:00","44151","44541"
"19.01.2023 10:00 - 19.01.2023 11:00","44050","44831"
"19.01.2023 11:00 - 19.01.2023 12:00","43785","43941"
"19.01.2023 12:00 - 19.01.2023 13:00","41164","41921"
"19.01.2023 13:00 - 19.01.2023 14:00","41153","41472"
"19.01.2023 14:00 - 19.01.2023 15:00","42540","42428"
"19.01.2023 15:00 - 19.01.2023 16:00","42961","43037"
"19.01.2023 16:00 - 19.01.2023 17:00","43152","42872"
"19.01.2023 17:00 - 19.01.2023 18:00","44245","43569"
"19.01.2023 18:00 - 19.01.2023 19:00","43653","43293"
"19.01.2023 19:00 - 19.01.2023 20:00","42922","42598"
"19.01.2023 20:00 - 19.01.2023 21:00","40276","40069"
"19.01.2023 21:00 - 19.01.2023 22:00","37015","36850"
"19.01.2023 22:00 - 19.01.2023 23:00","33365","33242"
"19.01.2023 23:00 - 20.01.2023 00:00","30327","30033"
"20.01.2023 00:00 - 20.01.2023 01:00","28075","27331"
"20.01.2023 01:00 - 20.01.2023 02:00","26352","25917"
"20.01.2023 02:00 - 20.01.2023 03:00","25413","25230"
"20.01.2023 03:00 - 20.01.2023 04:00","25157","24960"
"20.01.2023 04:00 - 20.01.2023 05:00","25321","25195"
"20.01.2023 05:00 - 20.01.2023 06:00","27071","26982"
"20.01.2023 06:00 - 20.01.2023 07:00","32374","32488"
"20.01.2023 07:00 - 20.01.2023 08:00","38698","38789"
"20.01.2023 08:00 - 20.01.2023 09:00","43070","43015"
"20.01.2023 09:00 - 20.01.2023 10:00","44975","44298"
"20.01.2023 10:00 - 20.01.2023 11:00","44753","43545"
"20.01.2023 11:00 - 20.01.2023 12:00","44240","42683"
"20.01.2023 12:00 - 20.01.2023 13:00","42302","40661"
"20.01.2023 13:00 - 20.01.2023 14:00","41986","40004"
"20.01.2023 14:00 - 20.01.2023 15:00","42904","41241"
"20.01.2023 15:00 - 20.01.2023 16:00","42923","41938"
"20.01.2023 16:00 - 20.01.2023 17:00","42763","42323"
"20.01.2023 17:00 - 20.01.2023 18:00","43603","43501"
"20.01.2023 18:00 - 20.01.2023 19:00","43678","43259"
"20.01.2023 19:00 - 20.01.2023 20:00","43280","42383"
"20.01.2023 20:00 - 20.01.2023 21:00","40647","39791"
"20.01.2023 21:00 - 20.01.2023 22:00","37435","36716"
"20.01.2023 22:00 - 20.01.2023 23:00","33840","33060"
"20.01.2023 23:00 - 21.01.2023 00:00","30576","30103"
"21.01.2023 00:00 - 21.01.2023 01:00","27841","27214"
"21.01.2023 01:00 - 21.01.2023 02:00","25978","25558"
"21.01.2023 02:00 - 21.01.2023 03:00","25036","24587"
"21.01.2023 03:00 - 21.01.2023 04:00","24493","24214"
"21.01.2023 04:00 - 21.01.2023 05:00","24465","24193"
"21.01.2023 05:00 - 21.01.2023 06:00","25041","24922"
"21.01.2023 06:00 - 21.01.2023 07:00","27832","27347"
"21.01.2023 07:00 - 21.01.2023 08:00","31049","30607"
"21.01.2023 08:00 - 21.01.2023 09:00","33751","33247"
"21.01.2023 09:00 - 21.01.2023 10:00","35600","35478"
"21.01.2023 10:00 - 21.01.2023 11:00","35289","35149"
"21.01.2023 11:00 - 21.01.2023 12:00","33807","34349"
"21.01.2023 12:00 - 21.01.2023 13:00","32711","33087"
"21.01.2023 13:00 - 21.01.2023 14:00","31255","31758"
"21.01.2023 14:00 - 21.01.2023 15:00","30945","31125"
"21.01.2023 15:00 - 21.01.2023 16:00","31125","31159"
"21.01.2023 16:00 - 21.01.2023 17:00","31829","31854"
"21.01.2023 17:00 - 21.01.2023 18:00","34676","34764"
"21.01.2023 18:00 - 21.01.2023 19:00","36702","36434"
"21.01.2023 19:00 - 21.01.2023 20:00","37253","36718"
"21.01.2023 20:00 - 21.01.2023 21:00","35368","34610"
"21.01.2023 21:00 - 21.01.2023 22:00","32565","31713"
"21.01.2023 22:00 - 21.01.2023 23:00","30146","29213"
"21.01.2023 23:00 - 22.01.2023 00:00","27682","26773"
"22.01.2023 00:00 - 22.01.2023 01:00","25392","24538"
"22.01.2023 01:00 - 22.01.2023 02:00","23620","22776"
"22.01.2023 02:00 - 22.01.2023 03:00","22405","21905"
"22.01.2023 03:00 - 22.01.2023 04:00","21856","21320"
"22.01.2023 04:00 - 22.01.2023 05:00","21678","21114"
"22.01.2023 05:00 - 22.01.2023 06:00","22065","21603"
"22.01.2023 06:00 - 22.01.2023 07:00","22969","22836"
"22.01.2023 07:00 - 22.01.2023 08:00","24128","24316"
"22.01.2023 08:00 - 22.01.2023 09:00","25747","26349"
"22.01.2023 09:00 - 22.01.2023 10:00","28760","28936"
"22.01.2023 10:00 - 22.01.2023 11:00","29653","30355"
"22.01.2023 11:00 - 22.01.2023 12:00","30443","30676"
"22.01.2023 12:00 - 22.01.2023 13:00","30075","30575"
"22.01.2023 13:00 - 22.01.2023 14:00","28565","29469"
"22.01.2023 14:00 - 22.01.2023 15:00","27863","28809"
"22.01.2023 15:00 - 22.01.2023 16:00","28097","28527"
"22.01.2023 16:00 - 22.01.2023 17:00","28676","28812"
"22.01.2023 17:00 - 22.01.2023 18:00","31657","31699"
"22.01.2023 18:00 - 22.01.2023 19:00","33503","33536"
"22.01.2023 19:00 - 22.01.2023 20:00","34333","34100"
"22.01.2023 20:00 - 22.01.2023 21:00","33630","32918"
"22.01.2023 21:00 - 22.01.2023 22:00","31730","30866"
"22.01.2023 22:00 - 22.01.2023 23:00","29115","28307"
"22.01.2023 23:00 - 23.01.2023 00:00","26649","25717"
"23.01.2023 00:00 - 23.01.2023 01:00","23683","23424"
"23.01.2023 01:00 - 23.01.2023 02:00","22324","22040"
"23.01.2023 02:00 - 23.01.2023 03:00","21906","21420"
"23.01.2023 03:00 - 23.01.2023 04:00","21670","21222"
"23.01.2023 04:00 - 23.01.2023 05:00","22108","21880"
"23.01.2023 05:00 - 23.01.2023 06:00","24429","24490"
"23.01.2023 06:00 - 23.01.2023 07:00","30393","30946"
"23.01.2023 07:00 - 23.01.2023 08:00","37540","37846"
"23.01.2023 08:00 - 23.01.2023 09:00","42865","42945"
"23.01.2023 09:00 - 23.01.2023 10:00","45007","45262"
"23.01.2023 10:00 - 23.01.2023 11:00","45106","45069"
"23.01.2023 11:00 - 23.01.2023 12:00","44246","44861"
"23.01.2023 12:00 - 23.01.2023 13:00","41986","43431"
"23.01.2023 13:00 - 23.01.2023 14:00","42090","43434"
"23.01.2023 14:00 - 23.01.2023 15:00","43158","44159"
"23.01.2023 15:00 - 23.01.2023 16:00","43588","43985"
"23.01.2023 16:00 - 23.01.2023 17:00","44281","44111"
"23.01.2023 17:00 - 23.01.2023 18:00","44611","44411"
"23.01.2023 18:00 - 23.01.2023 19:00","44725","43987"
"23.01.2023 19:00 - 23.01.2023 20:00","44102","43119"
"23.01.2023 20:00 - 23.01.2023 21:00","41869","40799"
"23.01.2023 21:00 - 23.01.2023 22:00","38676","37531"
"23.01.2023 22:00 - 23.01.2023 23:00","34605","33601"
"23.01.2023 23:00 - 24.01.2023 00:00","31156","30380"
"24.01.2023 00:00 - 24.01.2023 01:00","28729","27660"
"24.01.2023 01:00 - 24.01.2023 02:00","26841","25997"
"24.01.2023 02:00 - 24.01.2023 03:00","25940","25161"
"24.01.2023 03:00 - 24.01.2023 04:00","25491","25015"
"24.01.2023 04:00 - 24.01.2023 05:00","25846","25398"
"24.01.2023 05:00 - 24.01.2023 06:00","27905","27419"
"24.01.2023 06:00 - 24.01.2023 07:00","33450","32976"
"24.01.2023 07:00 - 24.01.2023 08:00","39893","39340"
"24.01.2023 08:00 - 24.01.2023 09:00","44157","44051"
"24.01.2023 09:00 - 24.01.2023 10:00","46291","45218"
"24.01.2023 10:00 - 24.01.2023 11:00","46348","44504"
"24.01.2023 11:00 - 24.01.2023 12:00","45014","43487"
"24.01.2023 12:00 - 24.01.2023 13:00","43847","41622"
"24.01.2023 13:00 - 24.01.2023 14:00","43456","41686"
"24.01.2023 14:00 - 24.01.2023 15:00","44347","42313"
"24.01.2023 15:00 - 24.01.2023 16:00","44473","42257"
"24.01.2023 16:00 - 24.01.2023 17:00","44519","42510"
"24.01.2023 17:00 - 24.01.2023 18:00","44850","43852"
"24.01.2023 18:00 - 24.01.2023 19:00","45122","43989"
"24.01.2023 19:00 - 24.01.2023 20:00","44083","43231"
"24.01.2023 20:00 - 24.01.2023 21:00","41734","40720"
"24.01.2023 21:00 - 24.01.2023 22:00","38789","37583"
"24.01.2023 22:00 - 24.01.2023 23:00","34833","33781"
"24.01.2023 23:00 - 25.01.2023 00:00","31406","30429"
"25.01.2023 00:00 - 25.01.2023 01:00","28926","27680"
"25.01.2023 01:00 - 25.01.2023 02:00","27184","26009"
"25.01.2023 02:00 - 25.01.2023 03:00","26194","25298"
"25.01.2023 03:00 - 25.01.2023 04:00","25975","25142"
"25.01.2023 04:00 - 25.01.2023 05:00","26172","25670"
"25.01.2023 05:00 - 25.01.2023 06:00","27925","27500"
"25.01.2023 06:00 - 25.01.2023 07:00","33355","33143"
"25.01.2023 07:00 - 25.01.2023 08:00","39810","39434"
"25.01.2023 08:00 - 25.01.2023 09:00","44375","43857"
"25.01.2023 09:00 - 25.01.2023 10:00","45490","45260"
"25.01.2023 10:00 - 25.01.2023 11:00","44987","45242"
"25.01.2023 11:00 - 25.01.2023 12:00","43771","44829"
"25.01.2023 12:00 - 25.01.2023 13:00","42177","42565"
"25.01.2023 13:00 - 25.01.2023 14:00","41975","41719"
"25.01.2023 14:00 - 25.01.2023 15:00","42868","43164"
"25.01.2023 15:00 - 25.01.2023 16:00","42699","42928"
"25.01.2023 16:00 - 25.01.2023 17:00","42908","42946"
"25.01.2023 17:00 - 25.01.2023 18:00","44025","43997"
"25.01.2023 18:00 - 25.01.2023 19:00","44479","44136"
"25.01.2023 19:00 - 25.01.2023 20:00","43547","43542"
"25.01.2023 20:00 - 25.01.2023 21:00","41453","41396"
"25.01.2023 21:00 - 25.01.2023 22:00","38174","38001"
"25.01.2023 22:00 - 25.01.2023 23:00","34303","33905"
"25.01.2023 23:00 - 26.01.2023 00:00","30685","30547"
"26.01.2023 00:00 - 26.01.2023 01:00","27966","27633"
"26.01.2023 01:00 - 26.01.2023 02:00","26257","25858"
"26.01.2023 02:00 - 26.01.2023 03:00","25591","25546"
"26.01.2023 03:00 - 26.01.2023 04:00","25348","25270"
"26.01.2023 04:00 - 26.01.2023 05:00","25975","25539"
"26.01.2023 05:00 - 26.01.2023 06:00","27653","27360"
"26.01.2023 06:00 - 26.01.2023 07:00","33340","32890"
"26.01.2023 07:00 - 26.01.2023 08:00","39614","39115"
"26.01.2023 08:00 - 26.01.2023 09:00","44068","43550"
"26.01.2023 09:00 - 26.01.2023 10:00","45216","45307"
"26.01.2023 10:00 - 26.01.2023 11:00","45258","44734"
"26.01.2023 11:00 - 26.01.2023 12:00","44550","44318"
"26.01.2023 12:00 - 26.01.2023 13:00","42540","41774"
"26.01.2023 13:00 - 26.01.2023 14:00","41495","41399"
"26.01.2023 14:00 - 26.01.2023 15:00","42812","42782"
"26.01.2023 15:00 - 26.01.2023 16:00","42712","42852"
"26.01.2023 16:00 - 26.01.2023 17:00","42867","42451"
"26.01.2023 17:00 - 26.01.2023 18:00","44137","43767"
"26.01.2023 18:00 - 26.01.2023 19:00","44741","43930"
"26.01.2023 19:00 - 26.01.2023 20:00","44266","43341"
"26.01.2023 20:00 - 26.01.2023 21:00","41682","40615"
"26.01.2023 21:00 - 26.01.2023 22:00","38698","37584"
"26.01.2023 22:00 - 26.01.2023 23:00","34930","33651"
"26.01.2023 23:00 - 27.01.2023 00:00","31453","30451"
"27.01.2023 00:00 - 27.01.2023 01:00","27576","27831"
"27.01.2023 01:00 - 27.01.2023 02:00","25685","26053"
"27.01.2023 02:00 - 27.01.2023 03:00","25323","25321"
"27.01.2023 03:00 - 27.01.2023 04:00","25123","25131"
"27.01.2023 04:00 - 27.01.2023 05:00","25493","25589"
"27.01.2023 05:00 - 27.01.2023 06:00","27133","27170"
"27.01.2023 06:00 - 27.01.2023 07:00","32517","32745"
"27.01.2023 07:00 - 27.01.2023 08:00","38728","39134"
"27.01.2023 08:00 - 27.01.2023 09:00","43432","43686"
"27.01.2023 09:00 - 27.01.2023 10:00","45371","45366"
"27.01.2023 10:00 - 27.01.2023 11:00","45093","45685"
"27.01.2023 11:00 - 27.01.2023 12:00","44802","45300"
"27.01.2023 12:00 - 27.01.2023 13:00","41811","42785"
"27.01.2023 13:00 - 27.01.2023 14:00","41586","41699"
"27.01.2023 14:00 - 27.01.2023 15:00","42452","42583"
"27.01.2023 15:00 - 27.01.2023 16:00","42505","42296"
"27.01.2023 16:00 - 27.01.2023 17:00","42233","42040"
"27.01.2023 17:00 - 27.01.2023 18:00","43302","42906"
"27.01.2023 18:00 - 27.01.2023 19:00","44126","43142"
"27.01.2023 19:00 - 27.01.2023 20:00","43453","42526"
"27.01.2023 20:00 - 27.01.2023 21:00","41293","39966"
"27.01.2023 21:00 - 27.01.2023 22:00","37957","36821"
"27.01.2023 22:00 - 27.01.2023 23:00","34044","33378"
"27.01.2023 23:00 - 28.01.2023 00:00","30778","30217"
"28.01.2023 00:00 - 28.01.2023 01:00","28177","27622"
"28.01.2023 01:00 - 28.01.2023 02:00","26243","25759"
"28.01.2023 02:00 - 28.01.2023 03:00","25167","24955"
"28.01.2023 03:00 - 28.01.2023 04:00","24718","24507"
"28.01.2023 04:00 - 28.01.2023 05:00","24739","24496"
"28.01.2023 05:00 - 28.01.2023 06:00","25209","25249"
"28.01.2023 06:00 - 28.01.2023 07:00","27883","27700"
"28.01.2023 07:00 - 28.01.2023 08:00","31274","30908"
"28.01.2023 08:00 - 28.01.2023 09:00","34225","33642"
"28.01.2023 09:00 - 28.01.2023 10:00","36680","35483"
"28.01.2023 10:00 - 28.01.2023 11:00","37314","35543"
"28.01.2023 11:00 - 28.01.2023 12:00","36388","34468"
"28.01.2023 12:00 - 28.01.2023 13:00","34224","32895"
"28.01.2023 13:00 - 28.01.2023 14:00","32445","31675"
"28.01.2023 14:00 - 28.01.2023 15:00","31501","31411"
"28.01.2023 15:00 - 28.01.2023 16:00","31906","31237"
"28.01.2023 16:00 - 28.01.2023 17:00","31907","31647"
"28.01.2023 17:00 - 28.01.2023 18:00","34311","34196"
"28.01.2023 18:00 - 28.01.2023 19:00","36406","36140"
"28.01.2023 19:00 - 28.01.2023 20:00","37255","36328"
"28.01.2023 20:00 - 28.01.2023 21:00","35104","34184"
"28.01.2023 21:00 - 28.01.2023 22:00","32467","31591"
"28.01.2023 22:00 - 28.01.2023 23:00","29901","29250"
"28.01.2023 23:00 - 29.01.2023 00:00","27372","26913"
"29.01.2023 00:00 - 29.01.2023 01:00","25118","24821"
"29.01.2023 01:00 - 29.01.2023 02:00","23177","23026"
"29.01.2023 02:00 - 29.01.2023 03:00","22370","21959"
"29.01.2023 03:00 - 29.01.2023 04:00","21725","21474"
"29.01.2023 04:00 - 29.01.2023 05:00","21646","21323"
"29.01.2023 05:00 - 29.01.2023 06:00","22073","21962"
"29.01.2023 06:00 - 29.01.2023 07:00","23010","23381"
"29.01.2023 07:00 - 29.01.2023 08:00","24511","24738"
"29.01.2023 08:00 - 29.01.2023 09:00","26223","26811"
"29.01.2023 09:00 - 29.01.2023 10:00","28319","29354"
"29.01.2023 10:00 - 29.01.2023 11:00","29555","29877"
"29.01.2023 11:00 - 29.01.2023 12:00","29994","30193"
"29.01.2023 12:00 - 29.01.2023 13:00","29451","29951"
"29.01.2023 13:00 - 29.01.2023 14:00","28139","28183"
"29.01.2023 14:00 - 29.01.2023 15:00","27591","27911"
"29.01.2023 15:00 - 29.01.2023 16:00","27511","27725"
"29.01.2023 16:00 - 29.01.2023 17:00","27751","28040"
"29.01.2023 17:00 - 29.01.2023 18:00","30715","30490"
"29.01.2023 18:00 - 29.01.2023 19:00","33116","33159"
"29.01.2023 19:00 - 29.01.2023 20:00","34130","34272"
"29.01.2023 20:00 - 29.01.2023 21:00","33005","33194"
"29.01.2023 21:00 - 29.01.2023 22:00","30921","31231"
"29.01.2023 22:00 - 29.01.2023 23:00","28658","28695"
"29.01.2023 23:00 - 30.01.2023 00:00","25949","25963"
"30.01.2023 00:00 - 30.01.2023 01:00","24104","23484"
"30.01.2023 01:00 - 30.01.2023 02:00","22559","22066"
"30.01.2023 02:00 - 30.01.2023 03:00","21896","21567"
"30.01.2023 03:00 - 30.01.2023 04:00","21681","21545"
"30.01.2023 04:00 - 30.01.2023 05:00","22240","22147"
"30.01.2023 05:00 - 30.01.2023 06:00","24142","24526"
"30.01.2023 06:00 - 30.01.2023 07:00","30633","31225"
"30.01.2023 07:00 - 30.01.2023 08:00","37287","37914"
"30.01.2023 08:00 - 30.01.2023 09:00","42442","42937"
"30.01.2023 09:00 - 30.01.2023 10:00","44205","45104"
"30.01.2023 10:00 - 30.01.2023 11:00","44728","44153"
"30.01.2023 11:00 - 30.01.2023 12:00","44375","42696"
"30.01.2023 12:00 - 30.01.2023 13:00","41910","40270"
"30.01.2023 13:00 - 30.01.2023 14:00","41336","40348"
"30.01.2023 14:00 - 30.01.2023 15:00","42206","41658"
"30.01.2023 15:00 - 30.01.2023 16:00","42408","42217"
"30.01.2023 16:00 - 30.01.2023 17:00","42466","42189"
"30.01.2023 17:00 - 30.01.2023 18:00","43561","43073"
"30.01.2023 18:00 - 30.01.2023 19:00","43894","43545"
"30.01.2023 19:00 - 30.01.2023 20:00","43021","42949"
"30.01.2023 20:00 - 30.01.2023 21:00","40731","40615"
"30.01.2023 21:00 - 30.01.2023 22:00","37632","37591"
"30.01.2023 22:00 - 30.01.2023 23:00","33817","33625"
"30.01.2023 23:00 - 31.01.2023 00:00","30600","30508"
"31.01.2023 00:00 - 31.01.2023 01:00","27444","28425"
"31.01.2023 01:00 - 31.01.2023 02:00","25810","26597"
"31.01.2023 02:00 - 31.01.2023 03:00","25167","25622"
"31.01.2023 03:00 - 31.01.2023 04:00","25149","25443"
"31.01.2023 04:00 - 31.01.2023 05:00","26182","26029"
"31.01.2023 05:00 - 31.01.2023 06:00","28097","28082"
"31.01.2023 06:00 - 31.01.2023 07:00","33840","33867"
"31.01.2023 07:00 - 31.01.2023 08:00","39830","40267"
"31.01.2023 08:00 - 31.01.2023 09:00","44402","44708"
"31.01.2023 09:00 - 31.01.2023 10:00","45613","45669"
"31.01.2023 10:00 - 31.01.2023 11:00","44602","43811"
"31.01.2023 11:00 - 31.01.2023 12:00","42636","42466"
"31.01.2023 12:00 - 31.01.2023 13:00","40677","40132"
"31.01.2023 13:00 - 31.01.2023 14:00","40604","39765"
"31.01.2023 14:00 - 31.01.2023 15:00","41762","40608"
"31.01.2023 15:00 - 31.01.2023 16:00","42378","41423"
"31.01.2023 16:00 - 31.01.2023 17:00","42336","41899"
"31.01.2023 17:00 - 31.01.2023 18:00","43703","43057"
"31.01.2023 18:00 - 31.01.2023 19:00","44550","43818"
"31.01.2023 19:00 - 31.01.2023 20:00","44025","43293"
"31.01.2023 20:00 - 31.01.2023 21:00","41747","40909"
"31.01.2023 21:00 - 31.01.2023 22:00","38765","37738"
"31.01.2023 22:00 - 31.01.2023 23:00","34942","33873"
"31.01.2023 23:00 - 01.02.2023 00:00","31487","30643"
"01.02.2023 00:00 - 01.02.2023 01:00","28543","28070"
"01.02.2023 01:00 - 01.02.2023 02:00","26791","26606"
"01.02.2023 02:00 - 01.02.2023 03:00","25953","25718"
"01.02.2023 03:00 - 01.02.2023 04:00","25793","25620"
"01.02.2023 04:00 - 01.02.2023 05:00","26279","25894"
"01.02.2023 05:00 - 01.02.2023 06:00","28146","27926"
"01.02.2023 06:00 - 01.02.2023 07:00","34336","33615"
"01.02.2023 07:00 - 01.02.2023 08:00","40355","39942"
"01.02.2023 08:00 - 01.02.2023 09:00","44680","43984"
"01.02.2023 09:00 - 01.02.2023 10:00","45657","44805"
"01.02.2023 10:00 - 01.02.2023 11:00","44227","43665"
"01.02.2023 11:00 - 01.02.2023 12:00","42924","42576"
"01.02.2023 12:00 - 01.02.2023 13:00","40641","40721"
"01.02.2023 13:00 - 01.02.2023 14:00","40258","40440"
"01.02.2023 14:00 - 01.02.2023 15:00","41137","41309"
"01.02.2023 15:00 - 01.02.2023 16:00","41968","42194"
"01.02.2023 16:00 - 01.02.2023 17:00","42237","42278"
"01.02.2023 17:00 - 01.02.2023 18:00","43474","43421"
"01.02.2023 18:00 - 01.02.2023 19:00","44930","44036"
"01.02.2023 19:00 - 01.02.2023 20:00","44552","43367"
"01.02.2023 20:00 - 01.02.2023 21:00","42033","41188"
"01.02.2023 21:00 - 01.02.2023 22:00","39220","38259"
"01.02.2023 22:00 - 01.02.2023 23:00","35252","32523"
"01.02.2023 23:00 - 02.02.2023 00:00","31696","30808"
"02.02.2023 00:00 - 02.02.2023 01:00","28181","27607"
"02.02.2023 01:00 - 02.02.2023 02:00","26593","26195"
"02.02.2023 02:00 - 02.02.2023 03:00","25753","25224"
"02.02.2023 03:00 - 02.02.2023 04:00","25683","25195"
"02.02.2023 04:00 - 02.02.2023 05:00","25911","25609"
"02.02.2023 05:00 - 02.02.2023 06:00","27827","27499"
"02.02.2023 06:00 - 02.02.2023 07:00","33471","33147"
"02.02.2023 07:00 - 02.02.2023 08:00","39958","39599"
"02.02.2023 08:00 - 02.02.2023 09:00","43841","43343"
"02.02.2023 09:00 - 02.02.2023 10:00","44631","44005"
"02.02.2023 10:00 - 02.02.2023 11:00","43762","42880"
"02.02.2023 11:00 - 02.02.2023 12:00","42295","41937"
"02.02.2023 12:00 - 02.02.2023 13:00","39991","39450"
"02.02.2023 13:00 - 02.02.2023 14:00","39578","39507"
"02.02.2023 14:00 - 02.02.2023 15:00","40591","40856"
"02.02.2023 15:00 - 02.02.2023 16:00","41311","40951"
"02.02.2023 16:00 - 02.02.2023 17:00","41908","41220"
"02.02.2023 17:00 - 02.02.2023 18:00","43428","42318"
"02.02.2023 18:00 - 02.02.2023 19:00","44693","43371"
"02.02.2023 19:00 - 02.02.2023 20:00","44280","43059"
"02.02.2023 20:00 - 02.02.2023 21:00","41806","40758"
"02.02.2023 21:00 - 02.02.2023 22:00","38685","37640"
"02.02.2023 22:00 - 02.02.2023 23:00","34843","33808"
"02.02.2023 23:00 - 03.02.2023 00:00","31450","30494"
"03.02.2023 00:00 - 03.02.2023 01:00","28404","27683"
"03.02.2023 01:00 - 03.02.2023 02:00","26740","26001"
"03.02.2023 02:00 - 03.02.2023 03:00","25568","25341"
"03.02.2023 03:00 - 03.02.2023 04:00","25496","25044"
"03.02.2023 04:00 - 03.02.2023 05:00","26011","25547"
"03.02.2023 05:00 - 03.02.2023 06:00","27718","27407"
"03.02.2023 06:00 - 03.02.2023 07:00","33058","33057"
"03.02.2023 07:00 - 03.02.2023 08:00","38973","39254"
"03.02.2023 08:00 - 03.02.2023 09:00","42957","43435"
"03.02.2023 09:00 - 03.02.2023 10:00","43486","44216"
"03.02.2023 10:00 - 03.02.2023 11:00","42552","42743"
"03.02.2023 11:00 - 03.02.2023 12:00","41905","41446"
"03.02.2023 12:00 - 03.02.2023 13:00","39596","38768"
"03.02.2023 13:00 - 03.02.2023 14:00","39150","38590"
"03.02.2023 14:00 - 03.02.2023 15:00","40120","40032"
"03.02.2023 15:00 - 03.02.2023 16:00","39556","40669"
"03.02.2023 16:00 - 03.02.2023 17:00","39587","40701"
"03.02.2023 17:00 - 03.02.2023 18:00","41504","41365"
"03.02.2023 18:00 - 03.02.2023 19:00","43172","42438"
"03.02.2023 19:00 - 03.02.2023 20:00","42670","42145"
"03.02.2023 20:00 - 03.02.2023 21:00","40519","39827"
"03.02.2023 21:00 - 03.02.2023 22:00","37597","36618"
"03.02.2023 22:00 - 03.02.2023 23:00","34134","33040"
"03.02.2023 23:00 - 04.02.2023 00:00","30540","29895"
"04.02.2023 00:00 - 04.02.2023 01:00","28197","27369"
"04.02.2023 01:00 - 04.02.2023 02:00","26476","25548"
"04.02.2023 02:00 - 04.02.2023 03:00","25206","24616"
"04.02.2023 03:00 - 04.02.2023 04:00","24825","24181"
"04.02.2023 04:00 - 04.02.2023 05:00","24881","23935"
"04.02.2023 05:00 - 04.02.2023 06:00","25635","24670"
"04.02.2023 06:00 - 04.02.2023 07:00","28225","27278"
"04.02.2023 07:00 - 04.02.2023 08:00","31175","30110"
"04.02.2023 08:00 - 04.02.2023 09:00","33882","32527"
"04.02.2023 09:00 - 04.02.2023 10:00","35514","33831"
"04.02.2023 10:00 - 04.02.2023 11:00","35155","33107"
"04.02.2023 11:00 - 04.02.2023 12:00","33705","31605"
"04.02.2023 12:00 - 04.02.2023 13:00","32132","30231"
"04.02.2023 13:00 - 04.02.2023 14:00","30808","28938"
"04.02.2023 14:00 - 04.02.2023 15:00","30486","28708"
"04.02.2023 15:00 - 04.02.2023 16:00","30601","29251"
